original,0
"The staff has since expanded to more than thirty people and two continents with an office in Lahore, Pakistan.","The staff has increased to more than thirty people. It also spread into two continents with an office in Lahore, Pakistan."
David William Donald Cameron (born 9 October 1966) is the leader of the Conservative Party and Leader of Her Majesty's Loyal Opposition in the United Kingdom.,David William Donald Cameron is the leader of the Conservative Party. His is also a leader of Her Majesty's Loyal Opposition in the United Kingdom.
"When no one showed any interest, Cave took on the task by himself.","Since no one showed interest, Cave worked on the task alone."
It is the largest known non-spherical moon in the solar system.,It is the largest non-spherical shaped moon in the solar system.
"Benjamin Jeremy ""Ben"" Stein (born November 25, 1944) is an American actor, writer, and commentator on political and economic issues.","Benjamin Jeremy Stein is an American actor, writer, and political commentator."
Some of the technologies have been adapted to social networking services and ISPs.,Some of the technologies have been used in social networking services and ISPs.
"He has also recorded five albums as a solo artist, debuting with Leading Off in 1994.",He has also recorded five albums as a solo artist. His first album was Leading Off in 1994.
"In Augustan Rome, Quirinus was also an epithet of Janus, as Janus Quirinus.","In Augustan Rome, Quirinus was also a nickname of Janus, as Janus Quirinus."
Do not excuse what you did with what others did.,Do not excuse what you did with what others people did.
"The PKCS # 1 standard also incorporates processing schemes designed to provide additional security for RSA signatures, e. g., the Probabilistic Signature Scheme for RSA (RSA-PSS).",The PKCS # 1 standard also uses processing schemes created to provide more security for RSA signatures.
"Since Poland's accession to the European Union, a significant number of Poles have emigrated to Western European countries such as the United Kingdom, Germany and Ireland in search of work.","Since Poland took control of the European Union, many have travelled to Western European countries to look for work."
The surname Christian is an Anglicization of the Manx name McCrystyn.,The last name Christian is the English version of the Manx name McCrystyn
"This took the republic by surprise, especially because the SPD was below 25% in polls at the time.",This took the republic by surprise since the SPD was under 25% in the polls.
It accelerated northeast parallel to the East Coast and became extratropical on July 23 near Nova Scotia.,it moved Northeast along the East Coast and on July 23 was outside the tropics near Nova Scotia
"He is called Saint James the Greater to distinguish him from James, son of Alphaeus, who is also known as James the Less.","He is called Saint James the Greater to be different from James, son of Alphaeus, who is also known as James the Less."
He skated his last with the show in 2007.,Last time he skated with the who was in 2007.
"In mathematics, a Riemann sum is a method for approximating the total area underneath a curve on a graph, otherwise known as an integral.","In mathematics, a Riemann sum is a way to calculate the area under a curve on a graph. It is also known as an integral."
"Bonham Carter made her film debut in the K. M. Peyton film, A Pattern of Roses, before appearing in her first leading role in Lady Jane.","Bonham Carter played her first role in the K. M. Peyton film, A Pattern of Roses. Than she played her first leading role in Lady Jane."
Drammen is also the main harbor for car and fruit import in Norway.,Drammen is the main entry point for car and fruit import in Norway.
"The Administrators of the Northern Territory and Norfolk Island are, by contrast, appointed by the Governor-General.",The Administrators of the Northern Territory and Norfolk Island are appointed by the Governor-General.
"Freetown is home to Fourah Bay College, the oldest university in West Africa, founded in 1827.","Freetown is home to Fourah Bay College, the oldest university in West Africa.  It was founded in 1827."
"Sportswear (or Active attire) is clothing, including footwear, worn for sport or exercise.","Sportswear is clothing, including footwear, worn for sport or exercise."
Furthermore it is the episcopal see of the Diocese of Växjö.,It is also the episcopal see of the district of Växjö.
"Background DES uses a 56 - bit key, meaning that there are 256 possible keys under which a message can be encrypted.",Under Background DES there are 256 possible keys by which a message can be encrypted.
"Honduras (,) is a republic in Central America.",Honduras is a republic in Central America.
Two tubes of amphetamines and a further empty tube were found in the rear pocket of his racing jersey.,Two tubes with amphetamines were found in the pocket of his racing shirt.
